_element_key,_element_name,_element_type,_list_child_element_keys
age,age,integer,[]
aka,aka,string,[]
birthplace,birthplace,string,[]
customary_membership,customary_membership,string,[]
education_years,education_years,integer,[]
ethnicity,ethnicity,string,[]
first_name,first_name,string,[]
has_children,has_children,string,[]
household_id,household_id,string,[]
is_alive,is_alive,string,[]
last_name,last_name,string,[]
lives_fulltime,lives_fulltime,string,[]
lives_in_household,lives_in_household,string,[]
marital_status,marital_status,string,[]
name,name,string,[]
notes,notes,string,[]
person_photo,person_photo,mimeUri,"[""person_photo_contentType"",""person_photo_uriFragment""]"
person_photo_contentType,contentType,mimeType,[]
person_photo_uriFragment,uriFragment,rowpath,[]
relation_to_head,relation_to_head,string,[]
sex,sex,string,[]
village,village,string,[]
